ISBN,Title,Quantity,Description,Authors,Publisher,Published,Pages,Language,Location,Date,,Notes?
9780471682998,Visual Linear Algebra,1,"Following an innovative approach to learning, this text integrates paper and pencil skill building and the theoretical development of ideas with geometric exploration and conceptual understanding. Tutorials and traditional text. Visual Linear Algebra covers the topics in a standard one-semester introductory linear algebra course in forty-seven sections arranged in eight chapters. In each chapter, some sections are written in a traditional textbook style and some are tutorials designed to be worked through using either Maple or Mathematica. About the tutorials Each tutorial is a self-contained treatment of a core topic or application of linear algebra that a student can work through with minimal assistance from an instructor. The thirty tutorials are provided on the accompanying CD both as Maple worksheets and as Mathematica notebooks. They also appear in print as sections of the textbook. Geometry is used extensively to help students develop their intuition about the concepts of linear algebra. Applications. Students benefit greatly from working through an application, if the application captures their interest and the materials give them substantial activities that yield worthwhile results. Ten carefully selected applications have been developed and an entire tutorial is devoted to each of them. Active Learning. To encourage students to be active learners, the tutorials have been designed to engage and retain their interest. The exercises, demonstrations, explorations, visualizations, and animations are designed to stimulate students??? interest, encourage them to think clearly about the mathematics they are working through, and help them check their comprehension.","Eugene A. Herman, Michael D. Pepe",Wiley,2005-03-17,550,English,Unknown,2024-06-21T14:48:48-06:00,,
9780201520323,Linear Algebra and Its Applications,1,,David C. Lay,Addison Wesley Publishing Company,1994-01-01,536,English,Unknown,2024-06-21T14:48:58-06:00,,
9780471170594,Student Solutions Manual to Accompany Contemporary Linear Algebra,1,"Solutions and reasoning for in-text practice problems The Student Solutions Manual to accompany Contemporary Linear Algebra provides solutions to the practice problems in the text. As rigorous practice is the key to success in any mathematics course, this book is an important resource for any algebra student using Contemporary Linear Algebra in class. Full solutions include graphs and diagrams as needed, and answers to Discussion and Discovery questions include the mathematical reasoning behind the correct solution. Smart students make use of all resources at their disposal, and this solutions manual is an essential tool for targeted, efficient study time.","Howard Anton, Robert C. Busby",Wiley,2003-01-28,,English,Unknown,2024-06-21T14:49:07-06:00,,
9780471163626,Contemporary Linear Algebra,1,"From one of the premier authors in higher education comes a new linear algebra textbook that fosters mathematical thinking, problem-solving abilities, and exposure to real-world applications. Without sacrificing mathematical precision, Anton and Busby focus on the aspects of linear algebra that are most likely to have practical value to the student while not compromising the intrinsic mathematical form of the subject. Throughout Contemporary Linear Algebra, students are encouraged to look at ideas and problems from multiple points of view.","Howard Anton, Robert C. Busby",John Wiley & Sons,2002-09-02,1,English,Unknown,2024-06-21T14:49:15-06:00,,
9780471433279,Elementary Linear Algebra,1,"This classic treatment of linear algebra presents the fundamentals in the clearest possible way, examining basic ideas by means of computational examples and geometrical interpretation. It proceeds from familiar concepts to the unfamiliar, from the concrete to the abstract. Readers consistently praise this outstanding text for its expository style and clarity of presentation.",Howard Anton,Wiley,2003-01-01,,English,Unknown,2024-06-21T14:49:31-06:00,,
9780135367971,Linear Algebra,1,This introduction to linear algebra features intuitive introductions and examples to motivate important ideas and to illustrate the use of results of theorems. Linear Equations; Vector Spaces; Linear Transformations; Polynomials; Determinants; Elementary canonical Forms; Rational and Jordan Forms; Inner Product Spaces; Operators on Inner Product Spaces; Bilinear Forms For all readers interested in linear algebra.,"Kenneth Hoffman, Ray Alden Kunze",Prentice Hall,1971-01-01,407,English,Unknown,2024-06-21T14:49:36-06:00,,
9781852332358,Topics in Group Theory,1,"The theory of groups is simultaneously a branch of abstract algebra and the study of symmetry. Designed for readers approaching the subject for the first time, this book reviews all the essentials. It recaps the basic definitions and results, including Lagranges Theorem, the isomorphism theorems and group actions. Later chapters include material on chain conditions and finiteness conditions, free groups and the theory of presentations. In addition, a novel chapter of ""entertainments"" demonstrates an assortment of results that can be achieved with the theoretical machinery.","Geoff Smith, Olga Tabachnikova",Springer Science & Business Media,2000-05-15,288,English,Unknown,2024-06-21T14:49:53-06:00,,
9780321287137,Linear Algebra and Its Applications,1,"Linear algebra is relatively easy for students during the early stages of the course, when the material is presented in a familiar, concrete setting. But when abstract concepts are introduced, students often hit a brick wall. Instructors seem to agree that certain concepts (such as linear independence, spanning, subspace, vector space, and linear transformations), are not easily understood, and require time to assimilate. Since they are fundamental to the study of linear algebra, students' understanding of these concepts is vital to their mastery of the subject. Lay introduces these concepts early in a familiar, concrete Rn setting, develops them gradually, and returns to them again and again throughout the text so that when discussed in the abstract, these concepts are more accessible.",David C. Lay,Addison-Wesley Longman,2006-01-01,492,English,Unknown,2024-06-21T14:50:00-06:00,,
9780486439471,Algebra,1,"This graduate-level text is intended for initial courses in algebra that begin with first principles but proceed at a faster pace than undergraduate-level courses. It employs presentations and proofs that are accessible to students, and it provides numerous concrete examples. Exercises appear throughout the text, clarifying concepts as they arise; additional exercises, varying widely in difficulty, are included at the ends of the chapters. Subjects include groups, rings, fields and Galois theory, modules, and structure of rings and algebras. Further topics encompass infinite Abelian groups, transcendental field extensions, representations and characters of finite groups, Galois groups, and additional areas. Based on many years of classroom experience, this self-contained treatment breathes new life into abstract concepts.",Larry C. Grove,Courier Corporation,2004-01-01,322,English,Unknown,2024-06-21T14:50:11-06:00,,
9780691145532,Discrete and Computational Geometry,1,"Discrete geometry is a relatively new development in pure mathematics, while computational geometry is an emerging area in applications-driven computer science. Their intermingling has yielded exciting advances in recent years, yet what has been lacking until now is an undergraduate textbook that bridges the gap between the two. Discrete and Computational Geometry offers a comprehensive yet accessible introduction to this cutting-edge frontier of mathematics and computer science. This book covers traditional topics such as convex hulls, triangulations, and Voronoi diagrams, as well as more recent subjects like pseudotriangulations, curve reconstruction, and locked chains. It also touches on more advanced material, including Dehn invariants, associahedra, quasigeodesics, Morse theory, and the recent resolution of the Poincaré conjecture. Connections to real-world applications are made throughout, and algorithms are presented independently of any programming language. This richly illustrated textbook also features numerous exercises and unsolved problems. The essential introduction to discrete and computational geometry Covers traditional topics as well as new and advanced material Features numerous full-color illustrations, exercises, and unsolved problems Suitable for sophomores in mathematics, computer science, engineering, or physics Rigorous but accessible An online solutions manual is available (for teachers only). To obtain access, please e-mail: Vickie_Kearn@press.princeton.edu","Satyan L. Devadoss, Joseph O'Rourke",Princeton University Press,2011-04-11,280,English,Unknown,2024-06-21T14:50:21-06:00,,
