ISBN,Title,Quantity,Description,Authors,Publisher,Published,Pages,Language,Location,Date,
0-87150-857-5,Numerical Analysis,1,,"Richard L. Burden, J. Douglas Faires",Brooks/Cole,1985-01-01,700,English,Unknown,2024-06-21T15:20:13-06:00,
9780062731029,Cartoon Guide to Statistics,1,"If you have ever looked for P-values by shopping at P mart, tried to watch the Bernoulli Trails on ""People's Court,"" or think that the standard deviation is a criminal offense in six states, then you need The Cartoon Guide to Statistics to put you on the road to statistical literacy. The Cartoon Guide to Statistics covers all the central ideas of modern statistics: the summary and display of data, probability in gambling and medicine, random variables, Bernoulli Trails, the Central Limit Theorem, hypothesis testing, confidence interval estimation, and much more—all explained in simple, clear, and yes, funny illustrations. Never again will you order the Poisson Distribution in a French restaurant!",Larry Gonick,Harper Collins,1993-07-14,242,English,Unknown,2024-06-24T12:19:08-06:00,
9780470155356,Financial Accounting,1,,Paul D. Kimmel,,2007-09-19,,English,Unknown,2024-06-24T12:20:03-06:00,
9781260318647,,1,,,,,,,Unknown,2024-06-24T12:21:00-06:00,
9780023958908,Microeconomics,1,,Robert S. Pindyck,,1992-01-01,760,English,Unknown,2024-06-24T12:21:07-06:00,
9780794524203,The Usborne Complete Book of Chess,1,This step-by-step guide explains basic techniques.,Elizabeth Dalby,Usborne Books,2008-06-01,,English,Unknown,2024-06-24T12:23:04-06:00,
9780321828422,Stats,1,"Unparalleled in its readability and ease of comprehension, Stats: Data and Models, Second Canadian Edition, focuses on statistical thinking and data analysis. Written in an approachable style without sacrificing rigor, this text incorporates compelling examples derived from the authors' wealth of teaching experience and encourages students to learn how to reason with data. Stats: Data and Models promotes conceptual understanding for applied statistics without overwhelming the reader with tedious calculations and complex mathematics. This Second Canadian Edition has been meticulously updated to include the most relevant and engaging Canadian examples and data.","Richard D De Veaux, Paul F. Velleman, David E Bock, Augustin M Vukov, Augustine C. M Wong",,2014-10-30,,English,Unknown,2024-06-24T12:24:28-06:00,
9780321851666,Elementary Statistics Using Excel,1,"From SAT scores to job search methods, statistics influences and shapes the world around us. Marty Triola's text continues to be the bestseller because it helps students understand the relationship between statistics and the world, bringing life to the theory and methods. Elementary Statistics Using Excel raises the bar with every edition by incorporating an unprecedented amount of real and interesting data that will help instructors connect with students today, and help them connect statistics to their daily lives. The Fifth Edition contains more than 1,800 exercises, 89% of which use real data and 85% of which are new. Hundreds of examples are included, 91% of which use real data and 84% of which are new.",Mario F. Triola,,2014-01-01,,English,Unknown,2024-06-24T12:24:53-06:00,
9781118892893,,1,,,,,,,Unknown,2024-06-24T12:24:59-06:00,
9780321435934,,1,,,,,,,Unknown,2024-06-24T12:28:03-06:00,
9780130464897,Annotated Instructor's Edition,1,,"III Sullivan Michael, Michael Sullivan (III)",Prentice Hall,2004-04-01,998,English,Unknown,2024-06-24T12:30:01-06:00,
878721703,Elementary Survey Sampling,1,,"Richard L. Scheaffer, William Mendenhall, Lyman Ott",Brooks/Cole,1979-01-01,306,English,Unknown,2024-06-24T12:32:00-06:00,
9780673467683,Statistics in a World of Applications,1,"This text carefully explicates the concepts of introductory statistics for students in various majors, retaining the clear, straightforward and intuitive style that distinguished previous editions. Enhanced and updated, this edition provides still more realistic problems and applications, addresses some of the recent technological advances that are making their mark in the classroom, and displays sensitivity to some of the tenets of the ASA/MAA Committee on the Statistics Curriculum with its increased focus on using real data, projects, and written assignments.",Ramakant Khazanie,Addison Wesley Publishing Company,1997-01-01,,English,Unknown,2024-06-24T12:32:18-06:00,
9780321225979,Elementary Statistics,1,"Elementary Statistics has a strong reputation due to its engaging and understandable introduction to statistics. The latest Canadian edition continues to reflect the authors' commitment to providing student-friendly material and now features a full-colour design with thoroughly revised coverage of topics and theorems. The learning process is supported by a variety of exercises, technology projects, group activities, and a strong supplement package.","Mario F. Triola, William M. Goodman, Gerry LaBute, Richard Law, Lisa MacKay",,2009-12-01,880,English,Unknown,2024-06-24T12:32:31-06:00,
9780136036159,Statistics,1,"CD-ROM contains: Activity manual, applets, data sets, and graphing calculator.html.","Alan Agresti, Christine A. Franklin",Prentice Hall,2009-01-01,862,English,Unknown,2024-06-24T12:32:47-06:00,
9781256325598,Stats,1,,"Richard D. De Veaux, Paul F. Velleman, David E. Bock, Augustin M. Vukov, Augustine C. M. Wong",,2012-01-01,1064,English,Unknown,2024-06-24T12:32:59-06:00,
9780201771305,Introductory Statistics,1,,Neil A. Weiss,,2005-01-01,,English,Unknown,2024-06-24T12:33:13-06:00,
9780039231415,Human Resource Management in Canada,1,,"Loren E. Falkenberg, Noah M. Meltz, Thomas H. Stone",,1999-01-01,464,English,Unknown,2024-06-24T12:33:30-06:00,
9780176251796,Modern Statistics,1,"Computers have revolutionized what can be done in statistics and how it can be done, but introductory statistics textbooks have not always kept pace. Maximizing the potential of a computer-enriched, introductory statistics course by acknowledging what the computer can do, Goodman has discarded outdated tables and procedures, introduced when it was assumed calculation could only be done by pen and calculator. Enhancing the content and presentation of traditional methods, Goodman offers a fresh, experiential introduction to statistical concepts and calculations, while providing new possibilities for statistical exploration and experience. The goal of Modern Statistics is to take full advantage of the computer resources now available to students of statistics, fully integrating the coverage of the statistics curriculum with the related coverage of relevant statistical software. Goodman has thus created a modern approach to statistical methods -- an approach that encourages and promotes critical thinking in the application and interpretation of modern statistical techniques.",William Martin Goodman,,2008-02-08,752,English,Unknown,2024-06-24T12:34:12-06:00,
9780486612720,Handbook of Mathematical Functions,1,An extensive summary of mathematical functions that occur in physical and engineering problems,"Milton Abramowitz, Irene A. Stegun",Courier Corporation,1965-01-01,1068,English,Unknown,2024-06-24T12:34:28-06:00,
9780136036166,Student Solutions Manual [for] Statistics,1,"This manual contains fully worked-out solutions for all the odd-numbered exercises in the text, as well as completely worked-out solutions to all the exercises in the Part Reviews.",Sarah Streett,Prentice Hall,2008-02-01,,English,Unknown,2024-06-24T12:35:52-06:00,
9780321500458,Intro Stats,1,"KEY MESSAGE: Intro Stats, Third Edition, continues and extends the successful innovations pioneered in the DeVeaux/Velleman/Bock books, teaching statistics and statistical thinking for today's readers. This book uses a fun, conversational writing style, real data, and short, accessible chapters. The consistent Think/Show/Tell model for worked examples reinforces thinking about how to approach a statistics problem, showing how to solve it, and reporting the conclusion in the context of the problem. KEY TOPICS: Exploring and Understanding Data; Exploring Relationships between Variables; Gathering Data; Randomness and Probability; From the Data at Hand to the World At Large; Learning about the World; Inference When Variables are Related MARKET: For all readers interested in Statistics.","Richard D. De Veaux, Paul F. Velleman, David E. Bock",Addison-Wesley Longman,2009-01-01,,English,Unknown,2024-06-24T12:36:06-06:00,
,"Mathematics of Finance, Third Edition",1,,Hummel and Seebeck,Mcgraw-hill,1956,368,,,,75-115145 (congress)
,Mathematics in Managemenr,1,,Albert Battersby,Pelican,1968,255,,,,
,Fundamentals of financial accounting,1,,Welsch and Anthony,Irwin,1977,741,,,,025601907X (different book apparently)
1260318648,Theory of Interest,1,,Kellinson,McGraw-hill,2019,308,,,,
,Probability for electrical and computer engineers,1,ECE 342,University of Alberta,Wiley,2014,401,,,,
9780321435934,"Statistics: Data and Models, Instructors' Edition",2,,"De Veaux, Velleman, Bock",Pearson,2008,869,,,,
,Statistical Methods in Medical Research,1,Volume 27,,,2018,,,,,
,Statistical Methods in Medical Research,1,Volume 29,,,2020,,,,,
