ISBN,Title,Quantity,Description,Authors,Publisher,Published,Pages,Language,Location,Date,,
806920874,Giant Book of Challenging Thinking Puzzles,1,,Michael A. Di Spezio,,1999-01-01,260,English,Unknown,2024-06-24T12:42:32-06:00,,
9783034600491,Inequalities,1,"This book is intended for the Mathematical Olympiad students who wish to prepare for the study of inequalities, a topic now of frequent use at various levels of mathematical competitions. In this volume we present both classic inequalities and the more useful inequalities for confronting and solving optimization problems. An important part of this book deals with geometric inequalities and this fact makes a big difference with respect to most of the books that deal with this topic in the mathematical olympiad. The book has been organized in four chapters which have each of them a different character. Chapter 1 is dedicated to present basic inequalities. Most of them are numerical inequalities generally lacking any geometric meaning. However, where it is possible to provide a geometric interpretation, we include it as we go along. We emphasize the importance of some of these inequalities, such as the inequality between the arithmetic mean and the geometric mean, the Cauchy-Schwarz inequality, the rearrangementinequality, the Jensen inequality, the Muirhead theorem, among others. For all these, besides giving the proof, we present several examples that show how to use them in mathematical olympiad problems. We also emphasize how the substitution strategy is used to deduce several inequalities.","Radmila Bulajich Manfrino, José Antonio Gómez Ortega, Rogelio Valdez Delgado",Springer Science & Business Media,2009-09-18,214,English,Unknown,2024-06-24T12:46:00-06:00,,
75525984,,1,,,,,,,Unknown,2024-06-24T12:47:17-06:00,,
9780691118802,The Princeton Companion to Mathematics,1,A comprehensive guide to mathematics with over 200 entries divided thematically.,"Timothy Gowers, June Barrow-Green, Imre Leader",Princeton University Press,2008-09-28,1056,English,Unknown,2024-06-24T12:49:08-06:00,,
387052720,The Method of Fractional Steps,1,,Nikolaĭ Nikolaevich I͡Anenko,Springer,1971-01-01,176,English,Unknown,2024-06-24T12:58:07-06:00,,
9780486656762,Topology,1,"Designed as a text for a one-year first course in topology, this authoritative volume offers an excellent general treatment of the main ideas of topology. It includes a large number and variety of topics from classical topology as well as newer areas of research activity.","John Gilbert Hocking, Gail S. Young",Courier Corporation,1988-01-01,404,English,Unknown,2024-06-24T12:58:24-06:00,,
2921120313,Category Theory for Computing Science,1,,"Michael Barr, Charles Wells, Université de Montréal. Centre de recherches mathématiques",[Montréal] : Publications CRM,1999-01-01,526,English,Unknown,2024-06-24T13:02:46-06:00,,
521829518,General Relativity,1,"General Relativity: An Introduction for Physicists provides a clear mathematical introduction to Einstein's theory of general relativity. It presents a wide range of applications of the theory, concentrating on its physical consequences. After reviewing the basic concepts, the authors present a clear and intuitive discussion of the mathematical background, including the necessary tools of tensor calculus and differential geometry. These tools are then used to develop the topic of special relativity and to discuss electromagnetism in Minkowski spacetime. Gravitation as spacetime curvature is then introduced and the field equations of general relativity derived. After applying the theory to a wide range of physical situations, the book concludes with a brief discussion of classical field theory and the derivation of general relativity from a variational principle. Written for advanced undergraduate and graduate students, this approachable textbook contains over 300 exercises to illuminate and extend the discussion in the text.","M. P. Hobson, G. P. Efstathiou, A. N. Lasenby",Cambridge University Press,2006-02-02,600,English,Unknown,2024-06-24T13:08:02-06:00,,
9780486296159,The Puzzling Adventures of Dr. Ecco,1,"Join math detective in solving nearly 40 puzzles inspired by methods in computer science and mathematics. The Tower of Lego, Odd Doors Problem, Spies and Double Agents, many more. Solutions.",Dennis Elliott Shasha,Courier Corporation,1998-01-01,212,English,Unknown,2024-06-24T13:11:10-06:00,,
9780486661650,Theory and Application of Infinite Series,1,"This unusually clear and interesting classic offers a thorough and reliable treatment of an important branch of higher analysis. The work covers real numbers and sequences, foundations of the theory of infinite series, and development of the theory (series of valuable terms, Euler's summation formula, asymptotic expansions, and other topics). Exercises throughout. Ideal for self-study.",Konrad Knopp,Courier Corporation,1990-01-01,596,English,Unknown,2024-06-24T13:11:22-06:00,,
